日期,渠道,代理商名称,体裁,投放目标,消耗,激活数,CPA,CTR,CVR,CPM,次留（T-2）,7留（T-8）,考核CPA,考核次留,考核7留
2026-05-28,广点通,A代理,短剧,拉新,8500,100,85.00,1.82,8.10,42.50,39.2,16.1,90,38,15
2026-05-28,广点通,A代理,单本,拉新,5400,60,90.00,1.55,7.40,39.20,37.8,15.4,90,38,15
2026-05-29,广点通,A代理,短剧,拉新,8800,99,88.89,1.79,8.00,43.10,38.6,15.9,90,38,15
2026-05-29,广点通,A代理,单本,拉新,5600,61,91.80,1.52,7.20,40.10,37.4,15.2,90,38,15
2026-06-04,广点通,A代理,短剧,拉新,11600,98,118.37,1.43,6.80,51.40,26.4,10.8,90,38,15
2026-06-04,广点通,A代理,单本,拉新,5750,60,95.83,1.50,7.10,40.70,36.9,14.9,90,38,15
2026-05-28,广点通,B代理,短剧,拉新,7600,80,95.00,1.66,7.50,41.90,36.2,14.1,95,36,14
2026-05-29,广点通,B代理,短剧,拉新,7700,81,95.06,1.68,7.60,42.00,36.0,14.0,95,36,14
2026-06-04,广点通,B代理,短剧,拉新,8300,84,98.81,1.61,7.20,43.10,35.8,13.7,95,36,14
2026-05-28,抖音,C代理,有声,拉新,6800,82,82.93,1.91,8.40,38.60,35.6,13.5,85,35,13
2026-05-29,抖音,C代理,有声,拉新,7000,83,84.34,1.88,8.20,39.00,35.2,13.2,85,35,13
2026-06-04,抖音,C代理,有声,拉新,7200,84,85.71,1.86,8.10,39.40,34.8,12.9,85,35,13
